arr_code,srch_code,type,semi_field,arr_1,arr_2,cat,target,target_2,s1,s2,s3,s4,x1,x2,x3,x4,y1,y2,y3,y4,postr,postr_2,ss1,ss2,ss3,ss4,set_size,s5,s6,s7,s8,s9,s10,s11,s12,x5,x6,x7,x8,x9,x10,x11,x12,y5,y6,y7,y8,y9,y10,y11,y12,ss5,ss6,ss7,ss8,ss9,ss10,ss11,ss12,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,block_bas.thisRepN,block_bas.thisTrialN,block_bas.thisN,block_bas.thisIndex,block_sup.thisRepN,block_sup.thisTrialN,block_sup.thisN,block_sup.thisIndex,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon.started,polygon.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,polygon_2.started,polygon_2.stopped,arr1.started,arr1.stopped,arr2.started,arr2.stopped,polygon_3.started,polygon_3.stopped,polygon_4.started,polygon_4.stopped,word1.started,word1.stopped,word2.started,word2.stopped,polygon_5.started,polygon_5.stopped,polygon_6.started,polygon_6.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,s_1.started,s_1.stopped,s_2.started,s_2.stopped,s_3.started,s_3.stopped,s_4.started,s_4.stopped,key_resp_4.rt,text_3.started,text_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,polygon_8.started,polygon_8.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,sti1.started,sti1.stopped,sti2.started,sti2.stopped,sti3.started,sti3.stopped,sti4.started,sti4.stopped,sti5.started,sti5.stopped,sti6.started,sti6.stopped,sti7.started,sti7.stopped,sti8.started,sti8.stopped,sti9.started,sti9.stopped,sti10.started,sti10.stopped,sti11.started,sti11.stopped,sti12.started,sti12.stopped,key_resp_6.rt,text_2.started,text_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.618023300019559,None,space,21.79877910000505,13.618023300019559,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIKFNS2,001,2021_Sep_24_1533,shapka,2021.1.4,60.05093519959452,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.44257140002446,None,right,5.64687330002198,35.44257140002446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIKFNS2,001,2021_Sep_24_1533,shapka,2021.1.4,60.05093519959452,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.10950220003724,None,space,5.243131499970332,41.10950220003724,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIKFNS2,001,2021_Sep_24_1533,shapka,2021.1.4,60.05093519959452,
2,5,pre,right,right.png,right.png,sup,Посуда,Валюта,tableware2.png,animal2.png,music2.png,animal3.png,298,298,-298,-298,-316,316,-316,316,"[200, 0]","[-200, 0]","[104, 104]","[104, 104]","[104, 104]","[104, 104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,46.498406400030944,None,46.498406400030944,None,46.498406400030944,None,46.59282359998906,None,47.01850619999459,None,47.01850619999459,None,47.01850619999459,None,47.39285370003199,None,48.408657199994195,None,None,48.408657199994195,None,48.408657199994195,None,48.408657199994195,None,48.408657199994195,None,48.408657199994195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIKFNS2,001,2021_Sep_24_1533,shapka,2021.1.4,60.05093519959452,
2,5,pre,right,right.png,right.png,sup,Мебель,Стебель,furniture5.png,music1.png,car4.png,tool5.png,298,298,-298,-298,316,-316,316,-316,"[200, 0]","[-200, 0]","[104, 104]","[104, 104]","[104, 104]","[104, 104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,52.431480500032194,None,52.431480500032194,None,52.431480500032194,None,52.59321750001982,None,53.01281600003131,None,53.01281600003131,None,53.01281600003131,None,53.39329320000252,None,54.40787540003657,None,p,54.40787540003657,None,54.40787540003657,None,54.40787540003657,None,54.40787540003657,None,54.40787540003657,None,1.8967050000210293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIKFNS2,001,2021_Sep_24_1533,shapka,2021.1.4,60.05093519959452,
1,5,pre,left,left.png,left.png,bas,Рубашки,Барашки,clothes1.png,tool6.png,animal1.png,music2.png,-298,-298,298,298,-316,316,-316,316,"[-200, 0]","[200, 0]","[104, 104]","[104, 104]","[104, 104]","[104, 104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,56.368696100020315,None,56.368696100020315,None,56.368696100020315,None,56.57677440001862,None,56.98747860000003,None,56.98747860000003,None,56.98747860000003,None,57.39332360000117,None,58.40828440000769,None,None,58.40828440000769,None,58.40828440000769,None,58.40828440000769,None,58.40828440000769,None,58.40828440000769,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIKFNS2,001,2021_Sep_24_1533,shapka,2021.1.4,60.05093519959452,
2,5,pre,right,right.png,right.png,bas,Стулья,Брусья,furniture4.png,music5.png,music3.png,tool4.png,298,298,-298,-298,316,-316,316,-316,"[200, 0]","[-200, 0]","[104, 104]","[104, 104]","[104, 104]","[104, 104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,62.43731750000734,None,62.43731750000734,None,62.43731750000734,None,62.64366619999055,None,63.06395410001278,None,63.06395410001278,None,63.06395410001278,None,63.476948100025766,None,64.49257210001815,None,p,64.49257210001815,None,64.49257210001815,None,64.49257210001815,None,64.49257210001815,None,64.49257210001815,None,3.356188800011296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIKFNS2,001,2021_Sep_24_1533,shapka,2021.1.4,60.05093519959452,
2,6,abs,right,right.png,right.png,sup,Фрукты,Бухты,car8.png,music2.png,car2.png,car1.png,298,298,-298,-298,316,-316,316,-316,"[200, 0]","[-200, 0]","[104, 104]","[104, 104]","[104, 104]","[104, 104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,67.92043420003029,None,67.92043420003029,None,67.92043420003029,None,68.12713229999645,None,68.54856820002897,None,68.54856820002897,None,68.54856820002897,None,68.96047130000079,None,69.98100160004105,None,None,69.98100160004105,None,69.98100160004105,None,69.98100160004105,None,69.98100160004105,None,69.98100160004105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIKFNS2,001,2021_Sep_24_1533,shapka,2021.1.4,60.05093519959452,
1,6,abs,left,left.png,left.png,bas,Яблоки,Пряники,tool1.png,tool4.png,car1.png,animal1.png,-298,-298,298,298,316,-316,316,-316,"[-200, 0]","[200, 0]","[104, 104]","[104, 104]","[104, 104]","[104, 104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,74.02207930001896,None,74.02207930001896,None,74.02207930001896,None,74.22734829998808,None,74.63484420004534,None,74.63484420004534,None,74.63484420004534,None,75.04410600004485,None,76.07475980004529,None,a,76.07475980004529,None,76.07475980004529,None,76.07475980004529,None,76.07475980004529,None,76.07475980004529,None,3.3978131000185385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIKFNS2,001,2021_Sep_24_1533,shapka,2021.1.4,60.05093519959452,
2,6,abs,right,right.png,right.png,bas,Яблоки,Пряники,animal4.png,music3.png,tool4.png,tool6.png,298,298,-298,-298,316,-316,316,-316,"[200, 0]","[-200, 0]","[104, 104]","[104, 104]","[104, 104]","[104, 104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,79.53564050002024,None,79.53564050002024,None,79.53564050002024,None,79.74436990002869,None,80.14668609999353,None,80.14668609999353,None,80.14668609999353,None,80.56102309998823,None,81.57538310001837,None,None,81.57538310001837,None,81.57538310001837,None,81.57538310001837,None,81.57538310001837,None,81.57538310001837,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIKFNS2,001,2021_Sep_24_1533,shapka,2021.1.4,60.05093519959452,
