arr_code,srch_code,type,semi_field,arr_1,arr_2,cat,target,target_2,s1,s2,s3,s4,x1,x2,x3,x4,y1,y2,y3,y4,postr,postr_2,ss1,ss2,ss3,ss4,set_size,s5,s6,s7,s8,s9,s10,s11,s12,x5,x6,x7,x8,x9,x10,x11,x12,y5,y6,y7,y8,y9,y10,y11,y12,ss5,ss6,ss7,ss8,ss9,ss10,ss11,ss12,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,block_bas.thisRepN,block_bas.thisTrialN,block_bas.thisN,block_bas.thisIndex,block_sup.thisRepN,block_sup.thisTrialN,block_sup.thisN,block_sup.thisIndex,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon.started,polygon.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,polygon_2.started,polygon_2.stopped,arr1.started,arr1.stopped,arr2.started,arr2.stopped,polygon_3.started,polygon_3.stopped,polygon_4.started,polygon_4.stopped,word1.started,word1.stopped,word2.started,word2.stopped,polygon_5.started,polygon_5.stopped,polygon_6.started,polygon_6.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,s_1.started,s_1.stopped,s_2.started,s_2.stopped,s_3.started,s_3.stopped,s_4.started,s_4.stopped,text_3.started,text_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,polygon_8.started,polygon_8.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,sti1.started,sti1.stopped,sti2.started,sti2.stopped,sti3.started,sti3.stopped,sti4.started,sti4.stopped,sti5.started,sti5.stopped,sti6.started,sti6.stopped,sti7.started,sti7.stopped,sti8.started,sti8.stopped,sti9.started,sti9.stopped,sti10.started,sti10.stopped,sti11.started,sti11.stopped,sti12.started,sti12.stopped,text_2.started,text_2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,fin.started,fin.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.75344520015642,None,space,73.93525960016996,25.75344520015642,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frol_pilot,001,2021_Sep_09_1514,shapka,2021.1.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.70937830023468,None,right,2.1041902997530997,99.70937830023468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frol_pilot,001,2021_Sep_09_1514,shapka,2021.1.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.84257260011509,None,space,3.949783000163734,101.84257260011509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frol_pilot,001,2021_Sep_09_1514,shapka,2021.1.4,None,
1,5,pre,left,left.png,left.png,bas,Стулья,Брусья,furniture1.png,car4.png,tool5.png,tool2.png,-298,-298,298,298,316,-316,316,-316,"[-200, 0]","[200, 0]","[104, 104]","[104, 104]","[104, 104]","[104, 104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,105.9308529002592,None,105.9308529002592,None,105.9308529002592,None,106.02582680014893,None,106.43674580007792,None,106.43674580007792,None,106.43674580007792,None,106.82589100021869,None,107.84506160020828,None,p,2.723381800111383,107.84506160020828,None,107.84506160020828,None,107.84506160020828,None,107.84506160020828,None,107.84506160020828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frol_pilot,001,2021_Sep_09_1514,shapka,2021.1.4,None,
1,5,pre,left,left.png,left.png,bas,Чашки,Шашки,tableware3.png,car2.png,animal2.png,music3.png,-298,-298,298,298,-316,316,-316,316,"[-200, 0]","[200, 0]","[104, 104]","[104, 104]","[104, 104]","[104, 104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,110.6258111000061,None,110.6258111000061,None,110.6258111000061,None,110.82612340012565,None,111.25326650030911,None,111.25326650030911,None,111.25326650030911,None,111.65946310013533,None,112.67408200027421,None,p,3.0222122999839485,112.67408200027421,None,112.67408200027421,None,112.67408200027421,None,112.67408200027421,None,112.67408200027421,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frol_pilot,001,2021_Sep_09_1514,shapka,2021.1.4,None,
2,6,abs,right,right.png,right.png,sup,Фрукты,Бухты,car8.png,music2.png,car2.png,car1.png,298,298,-298,-298,316,-316,316,-316,"[200, 0]","[-200, 0]","[104, 104]","[104, 104]","[104, 104]","[104, 104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,115.76201230008155,None,115.76201230008155,None,115.76201230008155,None,115.97631580010056,None,116.38444870011881,None,116.38444870011881,None,116.38444870011881,None,116.79275320004672,None,117.80930400034413,None,a,2.711109499912709,117.80930400034413,None,117.80930400034413,None,117.80930400034413,None,117.80930400034413,None,117.80930400034413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frol_pilot,001,2021_Sep_09_1514,shapka,2021.1.4,None,
2,5,pre,right,right.png,right.png,bas,Стулья,Брусья,furniture4.png,music5.png,music3.png,tool4.png,298,298,-298,-298,316,-316,316,-316,"[200, 0]","[-200, 0]","[104, 104]","[104, 104]","[104, 104]","[104, 104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,120.58193540014327,None,120.58193540014327,None,120.58193540014327,None,120.7933390000835,None,121.19814220024273,None,121.19814220024273,None,121.19814220024273,None,121.61003940040246,None,122.62339300010353,None,p,1.1531174001283944,122.62339300010353,None,122.62339300010353,None,122.62339300010353,None,122.62339300010353,None,122.62339300010353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frol_pilot,001,2021_Sep_09_1514,shapka,2021.1.4,None,
2,5,pre,right,right.png,right.png,bas,Чашки,Шашки,tableware1.png,tool1.png,music5.png,music1.png,298,298,-298,-298,-316,316,-316,316,"[200, 0]","[-200, 0]","[104, 104]","[104, 104]","[104, 104]","[104, 104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,123.83659770013765,None,123.83659770013765,None,123.83659770013765,None,124.04347050003707,None,124.44824520032853,None,124.44824520032853,None,124.44824520032853,None,124.85995710035786,None,125.88169230008498,None,p,2.8948503001593053,125.88169230008498,None,125.88169230008498,None,125.88169230008498,None,125.88169230008498,None,125.88169230008498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frol_pilot,001,2021_Sep_09_1514,shapka,2021.1.4,None,
2,5,pre,right,right.png,right.png,bas,Рубашки,Барашки,clothes5.png,music4.png,animal6.png,tool1.png,298,298,-298,-298,-316,316,-316,316,"[200, 0]","[-200, 0]","[104, 104]","[104, 104]","[104, 104]","[104, 104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,128.82520110020414,None,128.82520110020414,None,128.82520110020414,None,129.02689740015194,None,129.4397701001726,None,129.4397701001726,None,129.4397701001726,None,129.84358069999143,None,130.8557320004329,None,p,0.784735799767077,130.8557320004329,None,130.8557320004329,None,130.8557320004329,None,130.8557320004329,None,130.8557320004329,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frol_pilot,001,2021_Sep_09_1514,shapka,2021.1.4,None,
1,5,pre,left,left.png,left.png,sup,Посуда,Валюта,tableware4.png,animal1.png,tool2.png,animal2.png,-298,-298,298,298,-316,316,-316,316,"[-200, 0]","[200, 0]","[104, 104]","[104, 104]","[104, 104]","[104, 104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,131.691971400287,None,131.691971400287,None,131.691971400287,None,131.8936959002167,None,132.30280720023438,None,132.30280720023438,None,132.30280720023438,None,132.71040790015832,None,133.72489600023255,None,a,0.7636600998230278,133.72489600023255,None,133.72489600023255,None,133.72489600023255,None,133.72489600023255,None,133.72489600023255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frol_pilot,001,2021_Sep_09_1514,shapka,2021.1.4,None,
